longitude,latitude,housing_median_age,population,median_income,median_house_value,rooms_per_household,bedrooms_per_room,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN
-122.27,37.83,51,1258,2.7303,109700,4.972014925373134,0.2153846153846154,False,False,True,False
-122.27,37.83,49,570,1.4861,97200,4.6022727272727275,0.23209876543209876,False,False,True,False
-122.27,37.83,48,987,1.0972,104500,4.807486631016043,0.24026696329254726,False,False,True,False
-122.28,37.83,52,901,1.4103,103900,3.7493796526054592,0.25810721376571805,False,False,True,False
-122.26,37.83,52,689,3.48,191400,4.757281553398058,0.22448979591836735,False,False,True,False
-122.26,37.83,52,1377,2.5898,176000,3.4942528735632186,0.29399671052631576,False,False,True,False
-122.26,37.83,52,946,2.0978,155400,4.215189873417722,0.25165165165165165,False,False,True,False
-122.26,37.83,51,517,1.2852,150000,3.7590361445783134,0.33226495726495725,False,False,True,False
-122.26,37.84,49,462,1.025,118800,3.7724867724867726,0.28330995792426367,False,False,True,False
-122.26,37.84,52,467,3.9643,188800,4.797979797979798,0.21263157894736842,False,False,True,False
-122.26,37.83,52,660,3.0125,184400,4.941780821917808,0.21552321552321552,False,False,True,False
-122.26,37.83,52,718,2.6768,182300,4.335078534031414,0.2536231884057971,False,False,True,False
-122.26,37.83,50,616,2.026,142500,3.700657894736842,0.2862222222222222,False,False,True,False
-122.27,37.82,43,558,1.7348,137500,3.9802371541501977,0.3098311817279047,False,False,True,False
-122.26,37.82,40,423,0.9506,187500,3.9,0.3125,False,False,True,False
-122.27,37.82,40,700,1.775,112500,2.6875,0.3964059196617336,False,False,True,False
-122.27,37.82,21,735,0.9218,171900,2.045662100456621,0.5055803571428571,False,False,True,False
-122.27,37.82,43,1061,1.5045,93800,4.58968058968059,0.24411134903640258,False,False,True,False
-122.27,37.82,41,1959,1.1108,97500,4.473611111111111,0.26482458863706926,False,False,True,False
-122.27,37.82,52,1162,1.2475,104200,4.075,0.27975460122699386,False,False,True,False
-122.28,37.82,52,701,1.6098,87500,5.021459227467811,0.20085470085470086,False,False,True,False
-122.28,37.82,52,576,1.4113,83100,4.295454545454546,0.2571428571428571,False,False,True,False
-122.28,37.82,52,622,1.5057,87500,4.77992277992278,0.23263327948303716,False,False,True,False
-122.28,37.82,52,728,0.8172,85300,6.102459016393443,0.22498321020819342,False,False,True,False
-122.28,37.82,52,1074,1.2171,80300,4.5625,0.24585436193222782,False,False,True,False
-122.29,37.82,2,94,2.5625,60000,2.7719298245614037,0.2721518987341772,False,False,True,False
-122.29,37.83,52,554,3.3929,75700,5.994652406417113,0.18822479928635147,False,False,True,False
-122.29,37.82,49,86,6.1183,75000,5.869565217391305,0.21481481481481482,False,False,True,False
-122.29,37.81,50,377,0.9011,86100,6.229508196721311,0.25,False,False,True,False
-122.3,37.81,52,521,1.191,76100,7.69811320754717,0.19362745098039216,False,False,True,False
-122.3,37.81,48,392,2.5938,73500,6.225563909774436,0.21980676328502416,False,False,True,False
-122.3,37.81,52,604,1.1667,78400,5.401069518716578,0.20693069306930692,False,False,True,False
-122.3,37.81,48,788,0.8056,84400,4.382530120481928,0.24329896907216494,False,False,True,False
-122.29,37.8,52,492,2.6094,81300,6.98639455782313,0.23758519961051608,False,False,True,False
-122.3,37.81,52,274,1.8516,85000,6.975609756097561,0.19055944055944055,False,False,True,False
-122.29,37.81,46,1823,0.9802,129200,4.584288052373159,0.22991788646911818,False,False,True,False
-122.29,37.81,26,392,1.7719,82500,6.047244094488189,0.19791666666666666,False,False,True,False
-122.29,37.81,46,582,0.7286,95200,3.375451263537906,0.3176470588235294,False,False,True,False
-122.29,37.81,49,560,1.75,75000,5.552631578947368,0.24170616113744076,False,False,True,False
-122.29,37.81,46,18,0.4999,67500,1.7142857142857142,0.3333333333333333,False,False,True,False
-122.29,37.81,20,290,2.483,137500,6.2781954887218046,0.19281437125748502,False,False,True,False
-122.28,37.81,17,762,0.9241,177500,2.8177676537585423,0.3734842360549717,False,False,True,False
-122.28,37.81,36,1236,2.4464,102100,5.724950884086444,0.1928620452985587,False,False,True,False
-122.28,37.81,19,721,1.1111,108300,5.830917874396135,0.20132560066280034,False,False,True,False
-122.29,37.81,23,1054,0.8026,112500,5.369230769230769,0.21432664756446992,False,False,True,False
-122.28,37.8,38,344,2.0114,131300,4.412903225806452,0.2573099415204678,False,False,True,False
-122.28,37.81,17,609,1.5,162500,3.1972318339100347,0.31277056277056275,False,False,True,False
-122.27,37.81,52,183,1.1667,112500,3.75,0.26666666666666666,False,False,True,False
-122.28,37.81,52,200,1.5208,112500,3.9080459770114944,0.2852941176470588,False,False,True,False
-122.28,37.81,52,346,0.8075,137500,2.490322580645161,0.42487046632124353,False,False,True,False
-122.28,37.81,35,467,1.8088,118800,5.609467455621302,0.1940928270042194,False,False,True,False
-122.28,37.81,52,377,2.4083,98200,6.721739130434782,0.18499353169469598,False,False,True,False
-122.27,37.81,40,582,0.977,118800,2.3157894736842106,0.5125,False,False,True,False
-122.27,37.81,10,546,0.76,162500,2.6515151515151514,0.3977142857142857,False,False,True,False
-122.27,37.8,10,125,0.9722,137500,2.6923076923076925,0.4,False,False,True,False
-122.27,37.8,16,800,2.0938,162500,2.74585635359116,0.39436619718309857,False,False,True,False
-122.28,37.8,52,904,0.8668,137500,2.4431818181818183,0.4046511627906977,False,False,True,False
-122.28,37.8,52,191,0.75,162500,2.823529411764706,0.3229166666666667,False,False,True,False
-122.27,37.79,27,718,2.6354,187500,3.493377483443709,0.3289099526066351,False,False,True,False
-122.27,37.8,39,1327,1.8477,179200,3.6723768736616704,0.363265306122449,False,False,True,False
-122.26,37.8,36,3469,2.0096,130000,2.294016358157555,0.4648151623193845,False,False,True,False
-122.26,37.82,31,2048,2.8345,183800,3.8949152542372882,0.28959965187119235,False,False,True,False
-122.26,37.81,29,202,2.0062,125000,3.681318681318681,0.3194029850746269,False,False,True,False
-122.26,37.82,22,2024,1.2185,170000,2.9456,0.3449212384573601,False,False,True,False
-122.26,37.82,37,1838,2.6104,193100,3.7071428571428573,0.29865125240847784,False,False,True,False
-122.25,37.81,29,2304,2.4912,257800,3.7248,0.30369415807560135,False,False,True,False
-122.25,37.81,28,2563,3.2177,273400,3.8784235136940546,0.27609369617636925,False,False,True,False
-122.25,37.81,39,389,3.125,237500,3.745614035087719,0.28337236533957844,False,False,True,False
-122.25,37.81,52,895,2.5795,350000,3.5154975530179446,0.3252900232018561,False,False,True,False
-122.26,37.81,34,2689,2.8406,335700,3.281721632196758,0.3260091977516607,False,False,True,False
-122.24,37.82,52,674,4.9306,313400,6.184426229508197,0.14910536779324055,False,False,True,False
-122.24,37.81,52,709,3.2727,268500,4.442982456140351,0.23790720631786771,False,False,True,False
-122.25,37.81,52,686,3.1691,259400,4.165876777251185,0.2616609783845279,False,False,True,False
-122.24,37.82,52,1444,3.9,275700,4.848189415041783,0.21574260270037346,False,False,True,False
-122.25,37.82,28,1520,3.9063,225000,4.160847880299252,0.25621816002397363,False,False,True,False
-122.25,37.82,52,550,5.0917,262500,5.628458498023716,0.2029494382022472,False,False,True,False
-122.25,37.82,32,1806,2.6429,218500,3.7270058708414875,0.28826463638750327,False,False,True,False
-122.25,37.82,26,1749,3.0233,255000,3.2530813475760065,0.30209648901237685,False,False,True,False
-122.25,37.83,52,939,3.1484,224100,4.578034682080925,0.23526936026936027,False,False,True,False
-122.25,37.83,35,675,3.4722,243100,3.822274881516588,0.2653440793552387,False,False,True,False
-122.25,37.83,52,534,3.1429,231600,4.3951890034364265,0.22439405785770133,False,False,True,False
-122.25,37.83,28,2558,2.4234,218500,3.0234798314268514,0.34846674631620866,False,False,True,False
-122.25,37.83,52,1786,3.0897,234100,4.040501446480231,0.2637231503579952,False,False,True,False
-122.23,37.84,50,970,5.8596,327600,6.742627345844504,0.15864811133200796,False,False,True,False
-122.23,37.84,47,1098,5.2868,347600,6.546391752577319,0.14299212598425196,False,False,True,False
-122.24,37.83,41,794,5.956,366100,6.851063829787234,0.15760869565217392,False,False,True,False
-122.24,37.85,37,98,4.9643,335000,7.1063829787234045,0.16167664670658682,False,False,True,False
-122.23,37.85,52,1061,6.3434,373600,6.947890818858561,0.1467857142857143,False,False,True,False
-122.24,37.84,52,1177,5.1773,389500,6.358558558558559,0.16265230943610087,False,False,True,False
-122.24,37.85,52,901,7.2354,391100,7.11716621253406,0.139739663093415,False,False,True,False
-122.22,37.85,28,2031,5.457,337300,5.5303347280334725,0.1982220540949499,False,False,True,False
-122.22,37.84,50,1031,7.5,295200,6.127348643006263,0.16115843270868824,False,False,True,False
-122.21,37.84,44,1358,6.0194,292300,5.735343383584589,0.174357476635514,False,False,True,False
-122.21,37.83,40,1616,7.5544,411500,7.631498470948012,0.13504307753957123,False,False,True,False
-122.2,37.84,30,844,6.0666,311500,6.446064139941691,0.15649027589326098,False,False,True,False
-122.21,37.84,34,1140,7.0548,325900,6.125,0.16129032258064516,False,False,True,False
-122.19,37.84,18,533,11.6017,392600,8.335051546391753,0.12987012987012986,False,False,True,False
-122.2,37.84,35,1072,7.4882,319300,6.467268623024831,0.16055846422338568,False,False,True,False
-122.21,37.83,34,1627,6.8976,333300,6.6122715404699735,0.15557749259624876,False,False,True,False
-122.19,37.83,28,463,8.2049,335200,6.978947368421053,0.138763197586727,False,False,True,False
-122.2,37.83,26,542,8.401,351200,7.530805687203792,0.14033983637507866,False,False,True,False
-122.19,37.83,29,661,6.8538,368900,6.657992565055762,0.15131211613623674,False,False,True,False
-122.19,37.82,32,635,8.317,365900,6.977186311787072,0.1438692098092643,False,False,True,False
-122.2,37.82,37,420,7.0175,366700,6.982954545454546,0.14727420667209112,False,False,True,False
-122.2,37.82,39,1265,6.3302,362800,7.54,0.14164456233421752,False,False,True,False
-122.21,37.82,52,813,7.0549,331400,6.785714285714286,0.14021052631578948,False,False,True,False
-122.2,37.81,45,1067,6.7851,323500,6.957746478873239,0.14709851551956815,False,False,True,False
-122.21,37.8,50,1260,2.8929,216700,5.132246376811594,0.21355453582774445,False,False,True,False
-122.21,37.8,38,951,3.0812,233100,4.628336755646817,0.23735581188997337,False,False,True,False
-122.21,37.81,52,510,5.2402,296400,6.200892857142857,0.15262778977681785,False,False,True,False
-122.22,37.81,52,765,6.5217,273700,6.39935064935065,0.16996448503297817,False,False,True,False
-122.22,37.8,52,1129,3.2632,227700,4.745652173913044,0.21300961978928082,False,False,True,False
-122.22,37.8,52,1073,3.0298,199600,5.183673469387755,0.20297462817147857,False,False,True,False
-122.22,37.8,52,1185,4.5428,239800,5.283495145631068,0.1988239617787578,False,False,True,False
-122.22,37.81,52,756,4.072,270100,5.952941176470588,0.1674901185770751,False,False,True,False
-122.22,37.81,52,1034,5.3509,302100,5.65067178502879,0.18206521739130435,False,False,True,False
-122.23,37.8,52,787,3.1603,269500,4.429193899782135,0.23905558288243975,False,False,True,False
-122.23,37.81,52,612,4.7708,314700,6.727699530516432,0.159804605722261,False,False,True,False
-122.22,37.81,52,1021,8.1564,390100,7.7026315789473685,0.13734198838401093,False,False,True,False
-122.23,37.81,52,861,8.8793,410300,8.972868217054264,0.126133909287257,False,False,True,False
-122.24,37.81,52,953,6.8591,352400,7.599388379204893,0.12595573440643862,False,False,True,False
-122.24,37.81,52,634,6.0302,287300,5.8203125,0.1597315436241611,False,False,True,False
-122.23,37.81,52,878,7.508,348700,7.994318181818182,0.1297085998578536,False,False,True,False
-122.24,37.81,52,918,2.7477,243800,4.333333333333333,0.26278069756330624,False,False,True,False
-122.24,37.8,52,360,2.1944,211500,5.074285714285714,0.1891891891891892,False,False,True,False
-122.25,37.8,52,1197,3.0149,218400,4.276639344262295,0.24436990896023,False,False,True,False
-122.24,37.81,52,1048,3.675,269900,4.851351351351352,0.19976124154397135,False,False,True,False
-122.25,37.81,46,1373,3.225,218800,4.326639892904953,0.2583539603960396,False,False,True,False
-122.25,37.8,42,1715,2.9345,225000,4.059113300492611,0.25849514563106796,False,False,True,False
-122.25,37.8,43,1359,2.1429,250000,3.2742382271468142,0.3350253807106599,False,False,True,False
-122.25,37.8,41,1062,1.6121,171400,3.5617433414043584,0.318830727396329,False,False,True,False
-122.25,37.8,29,1335,1.3929,193800,3.1927554980595083,0.3500810372771475,False,False,True,False
-122.24,37.79,27,1171,2.3173,125000,3.804195804195804,0.3014705882352941,False,False,True,False
-122.25,37.79,45,1475,1.7772,97500,3.882608695652174,0.2945128779395297,False,False,True,False
-122.25,37.79,50,742,2.6458,125000,3.2091836734693877,0.2988871224165342,False,False,True,False
-122.25,37.79,52,1086,2.181,138800,3.6887052341597797,0.29200896191187453,False,False,True,False
-122.25,37.8,36,1645,2.2303,116700,3.0902394106813995,0.36114421930870083,False,False,True,False
-122.25,37.8,43,1710,1.6504,151800,3.639751552795031,0.27602389078498296,False,False,True,False
-122.24,37.8,52,731,2.2697,127000,4.368421052631579,0.2289156626506024,False,False,True,False
-122.24,37.8,52,1118,2.1563,128600,4.585014409221902,0.23444374607165305,False,False,True,False
-122.24,37.8,52,1006,2.1348,140600,4.7343283582089555,0.2509457755359395,False,False,True,False
-122.24,37.8,47,1213,2.6292,182700,3.693140794223827,0.2873900293255132,False,False,True,False
-122.23,37.8,52,772,2.3833,146900,4.638132295719845,0.2424496644295302,False,False,True,False
-122.24,37.8,52,1321,2.957,122800,4.496259351620948,0.23294509151414308,False,False,True,False
-122.24,37.8,49,1487,2.5238,169300,4.192023633677991,0.2639182522903453,False,False,True,False
-122.23,37.8,52,488,1.9375,126600,4.209677419354839,0.23499361430395913,False,False,True,False
-122.23,37.8,51,949,1.9028,127900,4.0561224489795915,0.26037735849056604,False,False,True,False
-122.23,37.8,50,1149,2.25,123500,4.20722891566265,0.27491408934707906,False,False,True,False
-122.23,37.8,52,844,2.3929,111900,4.4714285714285715,0.2388178913738019,False,False,True,False
-122.23,37.79,43,4367,2.1917,112800,4.844029244516653,0.2253899044105316,False,False,True,False
-122.23,37.79,52,1659,2.9357,107900,4.327669902912621,0.22153673583847447,False,False,True,False
-122.23,37.79,30,1011,1.8854,137500,3.7984790874524714,0.26426426426426425,False,False,True,False
-122.24,37.79,39,1464,2.1638,105500,3.776349614395887,0.29339686861810754,False,False,True,False
-122.24,37.79,47,1237,2.125,95500,4.528052805280528,0.2879008746355685,False,False,True,False
-122.24,37.79,52,647,3.375,116100,4.011904761904762,0.26706231454005935,False,False,True,False
-122.24,37.79,43,1284,2.2542,112200,4.554621848739496,0.23124231242312424,False,False,True,False
-122.25,37.79,51,228,2.1,75000,3.1818181818181817,0.24571428571428572,False,False,True,False
-122.25,37.79,39,381,1.6,112500,3.747967479674797,0.279826464208243,False,False,True,False
-122.25,37.79,52,846,3.625,125000,3.973568281938326,0.26274944567627495,False,False,True,False
-122.26,37.8,20,1659,1.6929,115000,3.510355029585799,0.3282764433206911,False,False,True,False
-122.22,37.77,52,520,1.6471,95000,2.8333333333333335,0.3273657289002558,False,False,True,False
-122.22,37.77,52,866,2.59,96400,4.38996138996139,0.2647317502198769,False,False,True,False
-122.23,37.77,52,612,2.57,72000,4.202185792349726,0.26788036410923277,False,False,True,False
-122.23,37.78,52,415,2.6429,71300,3.746031746031746,0.3093220338983051,False,False,True,False
-122.23,37.78,52,994,3.0257,80800,4.046948356807512,0.2494199535962877,False,False,True,False
-122.22,37.78,50,1525,1.4886,128800,4.0251572327044025,0.2760416666666667,False,False,True,False
-122.23,37.78,43,1506,1.9338,112500,3.2420091324200913,0.3323943661971831,False,False,True,False
-122.23,37.78,52,1008,1.4844,119400,3.8666666666666667,0.2616632860040568,False,False,True,False
-122.23,37.78,44,2813,1.6009,118100,3.1158455392809588,0.3525641025641026,False,False,True,False
-122.23,37.79,48,1481,2.0375,122500,4.944606413994169,0.23349056603773585,False,False,True,False
-122.23,37.79,49,859,2.293,106300,5.365296803652968,0.18468085106382978,False,False,True,False
-122.22,37.79,37,1608,2.1494,132500,4.479923518164436,0.24498506188647035,False,False,True,False
-122.23,37.79,30,425,1.6198,122700,4.357142857142857,0.23770491803278687,False,False,True,False
-122.23,37.79,40,564,1.3281,113300,5.054347826086956,0.21397849462365592,False,False,True,False
-122.22,37.79,44,961,3.5156,109500,5.466911764705882,0.21116341627437793,False,False,True,False
-122.22,37.79,52,2273,3.9048,164700,4.998540145985402,0.20151869158878505,False,False,True,False
-122.21,37.79,52,600,3.0893,125000,3.9076923076923076,0.24934383202099739,False,False,True,False
-122.22,37.79,46,1647,2.6042,124700,4.489563567362429,0.24302620456466612,False,False,True,False
-122.22,37.79,49,1201,2.5,136700,4.306603773584905,0.24644030668127054,False,False,True,False
-122.22,37.79,38,2167,2.7969,141700,4.626707132018209,0.23319121023286324,False,False,True,False
-122.2,37.79,29,939,2.8321,150000,4.823529411764706,0.22926829268292684,False,False,True,False
-122.21,37.79,47,859,2.9583,138800,5.284246575342466,0.19896305897602073,False,False,True,False
-122.21,37.79,34,1517,2.8365,139200,4.5813953488372094,0.2356175972927242,False,False,True,False
-122.21,37.79,35,1143,2.875,143800,4.520725388601036,0.2343839541547278,False,False,True,False
-122.21,37.8,39,1109,3.0682,156500,4.316810344827586,0.24962556165751373,False,False,True,False
-122.21,37.8,39,1221,3.0757,151000,4.524663677130045,0.22150644202180378,False,False,True,False
-122.2,37.8,43,1115,4.9559,273000,6.6923076923076925,0.1638752052545156,False,False,True,False
-122.2,37.8,52,706,4.7721,217100,5.772388059701493,0.18939883645765998,False,False,True,False
-122.21,37.8,52,1883,3.4861,187100,4.984419263456091,0.2020460358056266,False,False,True,False
-122.2,37.8,41,804,5.1184,239600,6.088235294117647,0.17101449275362318,False,False,True,False
-122.21,37.8,48,506,4.0977,229700,5.242063492063492,0.19909159727479184,False,False,True,False
-122.19,37.8,48,610,4.744,257300,7.117647058823529,0.15289256198347106,False,False,True,False
-122.19,37.8,46,768,4.2727,246900,5.837349397590361,0.17595459236326108,False,False,True,False
-122.19,37.79,50,462,2.9844,179900,5.260869565217392,0.20144628099173553,False,False,True,False
-122.2,37.79,40,667,4.1739,169600,4.51063829787234,0.24150943396226415,False,False,True,False
-122.2,37.8,46,1059,3.8487,203300,5.1152882205513786,0.19843214110730034,False,False,True,False
-122.19,37.8,52,637,4.0114,263400,6.5451263537906135,0.14947600661886376,False,False,True,False
-122.19,37.79,45,1106,4.6563,231800,5.986784140969163,0.1659308314937454,False,False,True,False
-122.19,37.79,28,1737,2.9297,140500,4.699551569506727,0.24204834605597964,False,False,True,False
-122.2,37.79,35,1009,2.3036,126000,4.62051282051282,0.25471698113207547,False,False,True,False
-122.2,37.79,49,737,2.6667,122000,4.2,0.22108843537414966,False,False,True,False
-122.2,37.79,44,1354,2.619,134700,3.30142566191446,0.27884022208513265,False,False,True,False
-122.21,37.79,45,1530,2.4167,139400,4.462025316455696,0.2520094562647754,False,False,True,False
-122.2,37.79,45,1410,2.7788,115400,4.210416666666666,0.2612568035625928,False,False,True,False
-122.21,37.78,46,1390,2.7352,137300,3.9349736379613356,0.2268870031263957,False,False,True,False
-122.21,37.78,52,1065,1.8472,137000,5.4907063197026025,0.2031144211238998,False,False,True,False
-122.21,37.78,52,792,2.6583,142600,4.310204081632653,0.21212121212121213,False,False,True,False
-122.21,37.78,49,779,3.0536,137500,3.6653061224489796,0.2717149220489978,False,False,True,False
-122.22,37.78,44,2269,2.3906,111700,4.865573770491803,0.23921832884097036,False,False,True,False
-122.21,37.78,43,1227,1.7188,126800,4.181818181818182,0.2702702702702703,False,False,True,False
-122.21,37.78,47,753,2.625,111300,3.6556016597510372,0.2814982973893303,False,False,True,False
-122.22,37.77,40,547,2.8015,114800,3.6592592592592594,0.23076923076923078,False,False,True,False
-122.22,37.78,50,1807,1.7276,102300,4.036363636363636,0.26632882882882886,False,False,True,False
-122.22,37.78,44,1700,2.0801,131900,3.38989898989899,0.3063170441001192,False,False,True,False
-122.22,37.78,51,1543,2.489,119100,4.1653944020356235,0.28283445326817347,False,False,True,False
-122.21,37.76,52,1085,1.7546,80600,4.733333333333333,0.2211267605633803,False,False,True,False
-122.21,37.77,52,353,4.0904,80600,4.313868613138686,0.2927241962774958,False,False,True,False
-122.21,37.77,52,473,2.6765,88800,5.0,0.20536912751677852,False,False,True,False
-122.2,37.77,49,1621,2.4338,102400,4.703933747412008,0.21919014084507044,False,False,True,False
-122.21,37.77,46,1183,2.3309,98700,3.4858757062146895,0.3038897893030794,False,False,True,False
-122.21,37.77,43,836,2.2604,100000,3.6714801444043323,0.3225172074729597,False,False,True,False
-122.19,37.77,42,900,1.8039,92300,3.543726235741445,0.27253218884120173,False,False,True,False
-122.2,37.77,39,1888,2.2562,94800,5.007448789571694,0.2220156191892897,False,False,True,False
-122.2,37.77,41,1024,2.0562,102000,4.536656891495602,0.2682611506140918,False,False,True,False
-122.2,37.78,52,1225,3.5398,158400,5.4373522458628845,0.19260869565217392,False,False,True,False
-122.2,37.78,39,1071,3.1167,121600,4.659574468085107,0.22773972602739725,False,False,True,False
-122.2,37.78,50,1128,2.5401,129100,4.939153439153439,0.2158543117300482,False,False,True,False
-122.2,37.77,43,1537,2.898,121400,5.020661157024794,0.20658436213991768,False,False,True,False
-122.21,37.78,44,1240,2.3125,102800,4.399491094147582,0.23944476576055523,False,False,True,False
-122.19,37.78,52,469,2.875,160000,6.107142857142857,0.17543859649122806,False,False,True,False
-122.19,37.77,52,1086,3.3715,143900,5.105882352941176,0.19723502304147467,False,False,True,False
-122.19,37.77,52,1144,3.5114,151200,5.585131894484412,0.1910691283812795,False,False,True,False
-122.19,37.78,52,1109,4.3125,164400,6.645333333333333,0.16653290529695025,False,False,True,False
-122.19,37.78,52,984,3.22,156500,5.956639566395664,0.18061874431301184,False,False,True,False
-122.18,37.78,33,575,3.875,225000,3.021276595744681,0.21830985915492956,False,False,True,False
-122.19,37.78,49,496,5.2328,174200,5.660287081339713,0.17328825021132713,False,False,True,False
-122.19,37.78,52,555,3.7262,166900,5.631578947368421,0.18037383177570093,False,False,True,False
-122.2,37.78,45,869,4.5893,163500,5.400611620795107,0.18799546998867497,False,False,True,False
-122.18,37.79,39,236,5.2578,253000,5.820754716981132,0.1539708265802269,False,False,True,False
-122.18,37.79,41,626,7.0875,240700,6.593457943925234,0.16513111268603828,False,False,True,False
-122.18,37.79,46,922,3.9712,208100,6.410334346504559,0.18349928876244664,False,False,True,False
-122.19,37.79,47,582,2.9514,198100,4.80078125,0.19772172497965826,False,False,True,False
-122.19,37.79,50,546,2.6667,172800,4.746268656716418,0.22746331236897274,False,False,True,False
-122.18,37.81,37,620,5.4446,336700,6.176691729323308,0.1594643944004869,False,False,True,False
-122.18,37.8,34,442,6.2838,318200,6.948717948717949,0.14391143911439114,False,False,True,False
-122.18,37.8,23,955,6.7527,285800,7.064024390243903,0.14501510574018128,False,False,True,False
-122.13,37.77,24,916,7.0712,293000,7.589506172839506,0.12891419276128507,False,False,True,False
-122.16,37.79,22,4985,5.9849,371000,6.528723945094052,0.15947671702227068,False,False,True,False
-122.17,37.78,42,651,3.6875,157300,5.707865168539326,0.17060367454068243,False,False,True,False
-122.17,37.77,30,1704,2.875,135300,4.731152204836415,0.2242934455802766,False,False,True,False
-122.18,37.78,43,1085,3.4205,136700,4.877149877149877,0.2216624685138539,False,False,True,False
-122.18,37.78,50,713,3.2984,160700,5.78169014084507,0.1961023142509135,False,False,True,False
-122.17,37.78,49,468,3.875,140600,4.933701657458563,0.19820828667413215,False,False,True,False
-122.17,37.78,52,296,4.175,144000,5.396694214876033,0.19601837672281777,False,False,True,False
-122.16,37.77,48,446,4.7708,156300,5.427777777777778,0.1985670419651996,False,False,True,False
-122.16,37.77,45,968,3.5739,176000,6.052083333333333,0.17082616179001722,False,False,True,False
-122.16,37.77,39,857,3.0958,145800,5.0094936708860756,0.2204674668351232,False,False,True,False
-122.17,37.77,39,912,3.3958,141900,5.0062111801242235,0.21215880893300249,False,False,True,False
-122.17,37.77,31,1360,1.871,90700,5.3628318584070795,0.2198844884488449,False,False,True,False
-122.17,37.76,41,1074,1.9356,90600,4.490140845070423,0.2302383939774153,False,False,True,False
-122.17,37.76,47,965,2.1842,107900,5.544502617801047,0.19499527856468366,False,False,True,False
-122.18,37.76,37,933,2.2917,107000,4.921875,0.2273015873015873,False,False,True,False
-122.17,37.76,38,987,2.4333,98200,4.983050847457627,0.22505668934240364,False,False,True,False
-122.18,37.76,50,907,1.9479,89500,4.82520325203252,0.21988205560235888,False,False,True,False
